Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3296","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","91.96","Fc","Calculated data"
"FBS","Food Balance Sheets","4","Algeria","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","76.55","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2473","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.26","Fc","Calculated data"
"FBS","Food Balance Sheets","7","Angola","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","53.54","Fc","Calculated data"
"FBS","Food Balance Sheets","53","Benin","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2619","Fc","Calculated data"
"FBS","Food Balance Sheets","53","Benin","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","64.43","Fc","Calculated data"
"FBS","Food Balance Sheets","53","Benin","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","49.8","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2326","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","64.86","Fc","Calculated data"
"FBS","Food Balance Sheets","20","Botswana","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","66.04","Fc","Calculated data"
"FBS","Food Balance Sheets","233","Burkina Faso","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2720","Fc","Calculated data"
"FBS","Food Balance Sheets","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","79.38","Fc","Calculated data"
"FBS","Food Balance Sheets","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","61.6","Fc","Calculated data"
"FBS","Food Balance Sheets","35","Cabo Verde","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2609","Fc","Calculated data"
"FBS","Food Balance Sheets","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","73.65","Fc","Calculated data"
"FBS","Food Balance Sheets","35","Cabo Verde","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","71.18","Fc","Calculated data"
"FBS","Food Balance Sheets","32","Cameroon","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2671","Fc","Calculated data"
"FBS","Food Balance Sheets","32","Cameroon","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","69.96","Fc","Calculated data"
"FBS","Food Balance Sheets","32","Cameroon","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.08","Fc","Calculated data"
"FBS","Food Balance Sheets","37","Central African Republic","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","1879","Fc","Calculated data"
"FBS","Food Balance Sheets","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","46.06","Fc","Calculated data"
"FBS","Food Balance Sheets","37","Central African Republic","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","59.54","Fc","Calculated data"
"FBS","Food Balance Sheets","39","Chad","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2110","Fc","Calculated data"
"FBS","Food Balance Sheets","39","Chad","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","62.72","Fc","Calculated data"
"FBS","Food Balance Sheets","39","Chad","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","47.09","Fc","Calculated data"
